,0,1,2,3,4,5,6,7
0,0.07,0.4,0.48,0.5,0.54,0.35,0.44,0.0
1,0.21,0.34,0.48,0.5,0.51,0.28,0.39,0.0
2,0.44,0.27,0.48,0.5,0.55,0.52,0.58,0.0
3,0.23,0.4,0.48,0.5,0.39,0.28,0.38,0.0
4,0.41,0.57,0.48,0.5,0.39,0.21,0.32,0.0
5,0.51,0.54,0.48,0.5,0.41,0.34,0.43,0.0
6,0.36,0.39,0.48,0.5,0.48,0.22,0.23,0.0
7,0.21,0.51,0.48,0.5,0.5,0.32,0.41,0.0
8,0.36,0.54,0.48,0.5,0.41,0.38,0.46,0.0
9,0.28,0.38,0.48,0.5,0.5,0.33,0.42,0.0
10,0.61,0.45,0.48,0.5,0.48,0.35,0.41,0.0
11,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0.0
12,0.43,0.4,0.48,0.5,0.39,0.28,0.39,0.0
13,0.29,0.3,0.48,0.5,0.45,0.03,0.17,0.0
14,0.44,0.34,0.48,0.5,0.3,0.33,0.43,0.0
15,0.44,0.56,0.48,0.5,0.5,0.46,0.54,0.0
16,0.37,0.5,0.48,0.5,0.42,0.36,0.45,0.0
17,0.42,0.3,0.48,0.5,0.48,0.26,0.36,0.0
18,0.41,0.43,0.48,0.5,0.45,0.31,0.41,0.0
19,0.51,0.46,0.48,0.5,0.58,0.31,0.41,0.0
20,0.33,0.47,0.48,0.5,0.53,0.18,0.29,0.0
21,0.26,0.5,0.48,0.5,0.44,0.32,0.41,0.0
22,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0.0
23,0.41,0.51,0.48,0.5,0.58,0.2,0.31,0.0
24,0.04,0.31,0.48,0.5,0.41,0.29,0.39,0.0
25,0.4,0.46,0.48,0.5,0.42,0.35,0.44,0.0
26,0.23,0.34,0.48,0.5,0.43,0.26,0.37,0.0
27,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0.0
28,0.3,0.44,0.48,0.5,0.49,0.22,0.33,0.0
29,0.27,0.3,0.48,0.5,0.71,0.28,0.39,0.0
30,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0.0
31,0.44,0.52,0.48,0.5,0.43,0.47,0.54,1.0
32,0.4,0.5,0.48,0.5,0.65,0.82,0.84,1.0
33,0.47,0.55,0.48,0.5,0.58,0.71,0.75,1.0
34,0.63,0.54,0.48,0.5,0.65,0.79,0.81,1.0
35,0.7,0.4,0.48,0.5,0.56,0.86,0.83,1.0
36,0.6,0.5,1.0,0.5,0.54,0.77,0.8,1.0
37,0.16,0.51,0.48,0.5,0.33,0.39,0.48,1.0
38,0.89,0.55,0.48,0.5,0.51,0.72,0.76,1.0
39,0.51,0.4,0.48,0.5,0.57,0.62,0.67,1.0
40,0.5,0.57,0.48,0.5,0.71,0.61,0.66,1.0
41,0.37,0.47,0.48,0.5,0.39,0.76,0.79,1.0
42,0.58,0.55,0.48,0.5,0.57,0.7,0.74,1.0
43,0.31,0.44,0.48,0.5,0.5,0.79,0.82,1.0
44,0.61,0.66,0.48,0.5,0.46,0.87,0.88,1.0
45,0.11,0.5,0.48,0.5,0.58,0.72,0.68,1.0
46,0.71,0.52,0.48,0.5,0.64,1.0,0.99,1.0
47,0.85,0.53,0.48,0.5,0.53,0.52,0.35,0.0
48,0.67,0.37,0.48,0.5,0.54,0.64,0.68,0.0
49,0.47,0.46,0.48,0.5,0.62,0.74,0.77,0.0
50,0.76,0.41,0.48,0.5,0.5,0.59,0.62,0.0
51,0.7,0.53,0.48,0.5,0.7,0.86,0.87,0.0
52,0.64,0.45,0.48,0.5,0.67,0.61,0.66,0.0
53,0.84,0.54,0.48,0.5,0.75,0.92,0.7,0.0
54,0.57,0.38,0.48,0.5,0.06,0.49,0.33,0.0
55,0.74,0.9,0.48,0.5,0.57,0.53,0.29,0.0
56,0.64,0.57,0.48,0.5,0.7,0.33,0.26,0.0
57,0.69,0.59,0.48,0.5,0.77,0.39,0.21,0.0
58,0.77,0.57,1.0,0.5,0.37,0.54,0.01,0.0
59,0.66,0.49,1.0,0.5,0.54,0.56,0.36,0.0
60,0.67,0.55,1.0,0.5,0.66,0.58,0.16,0.0
61,0.65,0.57,0.48,0.5,0.47,0.47,0.51,0.0
62,0.63,0.57,0.48,0.5,0.49,0.7,0.2,0.0
63,0.63,0.65,0.48,0.5,0.39,0.44,0.35,0.0
64,0.64,0.66,0.48,0.5,0.41,0.39,0.2,0.0
65,0.69,0.59,0.48,0.5,0.46,0.44,0.52,0.0
66,0.68,0.67,0.48,0.5,0.49,0.4,0.34,0.0
67,0.64,0.81,0.48,0.5,0.37,0.39,0.44,0.0
68,0.5569582241085078,0.6344613671633557,0.48,0.5,0.4678580408728137,0.8189227343267113,0.8367807751995249,1.0
69,0.2078953401996617,0.4229825566999436,0.48,0.5,0.5170174433000564,0.6028081236993797,0.6583342886494643,1.0
70,0.12164091389890297,0.4,0.48,0.5,0.5416393940920287,0.3918045493467309,0.471968184794559,1.0
71,0.09042265100397506,0.4510566275099377,0.48,0.5,0.560422651003975,0.5389095217867693,0.5625359060238504,1.0
72,0.46241214046361756,0.4981030351159044,0.48,0.5,0.6170809561624964,0.6583238246499853,0.699272307092033,1.0
73,0.09464159145150078,0.46160397862875197,0.48,0.5,0.5646415914515007,0.5779347209263822,0.5878495487090047,1.0
74,0.48446516456604105,0.4,0.48,0.5,0.5531576242719378,0.6855194189344141,0.6965736733027873,1.0
75,0.614110624514579,0.4,0.48,0.5,0.557273353159193,0.7904705055594211,0.7768303866042632,1.0
76,0.19719830362910867,0.4317995759072772,0.48,0.5,0.5649853810700035,0.449941524280014,0.5240417363263754,1.0
77,0.235214859543723,0.44859260574815385,0.48,0.5,0.5497185211496308,0.46338274674569224,0.5371852114963077,1.0
78,0.20564340903255007,0.45362646403612444,0.48,0.5,0.5936264640361244,0.4320169449964256,0.5093989534585139,1.0
79,0.09267180061788786,0.45667950154471965,0.48,0.5,0.5626718006178879,0.5597141557154627,0.5760308037073272,1.0
80,0.2912551761996536,0.4829706910748701,0.48,0.5,0.5621255176199653,0.5491296585796882,0.6114727615547315,1.0
81,0.3900421809481514,0.46038531716002856,0.7940036492321486,0.5,0.54,0.60361833207212,0.6573871417761029,1.0
82,0.35724420815095276,0.4670236485685556,0.48,0.5,0.3963778959245236,0.7425670844729688,0.7751182428427783,1.0
83,0.12086811210905368,0.40930514245897326,0.48,0.5,0.5381389715082053,0.372952684732134,0.4598509705791429,1.0
84,0.313693534488121,0.4738465256024609,0.48,0.5,0.621231178162707,0.6970786703315661,0.7353861024098436,1.0
85,0.25581972735224684,0.4350603259155183,0.662313694760695,0.5,0.54,0.49725336884517674,0.5662171732958658,1.0
86,0.2754583187557852,0.48122770741507787,0.48,0.5,0.6212277074150778,0.4742306113407073,0.5451182095959831,1.0
87,0.23774527057810252,0.4279575450963504,0.48,0.5,0.5120424549036496,0.6575329960598546,0.705596678415329,1.0
88,0.30766280608582736,0.43961046768097123,0.48,0.5,0.5003895323190287,0.7857151444906836,0.8162994429692266,1.0
89,0.29604171995518574,0.4733108280935738,0.48,0.5,0.47279840758089076,0.42331082809357373,0.5010923567446448,1.0
90,0.20702214059941257,0.44443961316737707,0.48,0.5,0.4992636879299044,0.394439613167377,0.47703301097281425,1.0
91,0.26811870745075694,0.45827020807375207,0.48,0.5,0.5516540416147504,0.4859638188387547,0.556540416147504,1.0
